name,notes,website,sectors,logos,category
NewMe,Fast Fashion Brand (Shien for India),https://newme.asia/,India Consumer,new-me.png,Fund 1
PierSight,Building Synthetic Aperture Radar (SAR) systems tailored to mission specific requirements,https://piersight.space/,"DeepTech,Space",piersight.png,Fund 1
MeetRecord,Meeting intelligence and sales coaching SAAS platform for US SMES,https://www.meetrecord.com/,SAAS,meet-record.png,Fund 1
Broccoli AI,AI-native operating system for home service businesses,https://www.broccoli.com/,,broccoli.svg,Fund 1
Potpie,Custom Agents for your codebase in minutes,https://potpie.ai/,,potpie.jpg,Fund 1
Volt,Loan against mutual funds / securities consumer app for India. Get low interest secured credit against your equity holdings in a single click,http://voltmoney.in/,FinTech,volt.png,Fund 1
Vaaree,B2C home / decor products marketplace,https://vaaree.com/,India Consumer,vaaree.png,Fund 1
Hotelzify,Shopify for Small hotels,https://hotelzify.com/,"Travel,SAAS",hotelzify.png,Fund 1
SuperSnd,Notification Infrastructure for your product. One integration to take all your notification channels live and to build logic on top of them.,https://www.suprsend.com/,SAAS,suprsend.png,Fund 1
Magma,B2B Cross Border Marketplace for Ceramics and construction chemicals,https://magmafactory.com/,B2B Marketplace,magma.png,Fund 1
SuperNova,AI Tutor for English,https://portal.gosupernova.live/,EdTech,supernova.png,Fund 1
Sketchnote,Building a Startup operating system,https://sketchnote.co/,SAAS,sketchnote.png,Fund 1
GloRoots,Global Employer of Record Platform - hire employees across the world and Gloroots handles all the headache of payroll for you,https://www.gloroots.com/,SAAS,gloroots.png,Fund 1
Suite42,On demand manufacturing platform for packaged food products,https://www.suite42.in/,B2B Marketplace,suite42.png,Fund 1
Produze,Platform to help Indian brands sell in foreign marketplaces,https://produze.com/,B2B Marketplace,Produze.svg,Fund 1
Rocketpay,P2P Nach mandates for India. Enables any one to deploy a NACH mandate on anyone else (with their consent) to collect money back .,https://www.udharpay.com/,FinTech,rocketpay.png,Fund 1
EximFiles,Generates all the 7- 25 documents a business needs to create to send or receive a shipment anywhere in the world,https://eximfiles.io/#/,SAAS,eximfiles.png,Fund 1
SalesMonk,3X Pipeline Generation using AI,https://salesmonk.co/,SAAS,salesmonk.png,Fund 1
GigaFun Studios,"Building Localized Match-3 puzzle games for India,",https://gigafunstudios.com/,Gaming,gigafun-studios.png,Fund 1
Dashwave,Cloud platform to increase productivity and efficiency of mobile developers and teams.,https://dashwave.io/,Dev Tools,dashwave.png,Fund 1
MoMoney,Investment App for GenZ India,https://momoney.in/,FinTech,momoney.png,Fund 1
Hectar,B2B cross border marketplace for agri commodities,https://www.hectar.in/,B2B Marketplace,hectar.png,Fund 1
Knot,Social Media app for teens to share positive feedback with each other,https://knotnow.co/,"Social,Consumer Internet",knot.png,Fund 1
Mannjal,Lending out of the box service for B2B marketplaces,https://www.mannjal.com/,FinTech,mannjal.png,Fund 1
Nawgati,Complaince and Operations SAAS for Fuelling Stations,https://www.nawgati.com/,"SAAS,Climate",nawgati.png,Fund 1
FanTail,B2B Marketplace for Man made fabrics,https://www.linkedin.com/company/fantailindia/,B2B Marketplace,fantail.png,Fund 1
DressFolk,Handwoven Ethnic Wear brand for the modern Indian woman,https://dressfolk.com/,"India Consumer,D2C",dressfolk.png,Fund 1
DevDham,Platform bringing temples online connecting them to devotees worldwide,https://devdarshanapp.com/en,India Consumer,devdham.png,Fund 1
REint,AI Powered Supply prediction for renewable energy markets,https://reint.co/,"SAAS,Climate",reint.png,Fund 1
Segmind,Fastest APIs for Generative AI models,https://www.segmind.com/,"SAAS,Dev Tools,Generative AI",segmind.png,Fund 1
Arva,Women's Health/Fertility Brand for India focussed on Egg Freezing,https://www.arva.health/,"India Consumer,Healthcare",arva.png,Fund 1
Salty,Fashion Accessories Brand for Indian GenZ,https://salty.co.in/,"D2C,India Consumer",salty.png,Fund 1
Nirmaan,B2B market place for construction materials connecting small brands to retailers,https://nirmaan.store/,B2B Marketplace,nirmaan.png,Fund 1
Karban,"Fan+Light+Air Purifier in one Device, AC coming soon!",https://www.karban.in/,"India Consumer,DeepTech",karban.png,Fund 1
Mave Health,Wearable Device + Coaching for treatment of Depression and other Mental Health issues,https://www.mavehealth.com/,"India Consumer,Healthcare",mave-health.png,Fund 1
Trisu,Fine Jewellery D2C Brand for India,https://trisu.in/,"India Consumer,D2C",trisu.png,Fund 1
Grid,Original Design Manufacturer Play for IOT products in India,https://www.grid-os.com/,"Manufacturing,B2B Marketplace",grid.png,Fund 1
FuturElectra,EV 2Ws lifecycle management platform,futurelectra.com,"EV,FinTech",futur-electra.png,Fund 1
BindBee,Unified API for People Data,https://www.bindbee.dev/,"SAAS,Dev Tools",bindbee.png,Fund 1
Prosparity,EV Financing NBFC,https://prosparity.in/,"EV,FinTech",prosparity.png,Fund 1
MagicStudio,AI lead Photo Editing App for small businesses,https://magicstudio.com/,"Generative AI,SAAS",magicstudio.png,Fund 1
Everyday,Lab grown diamonds brand for India,https://thisiseveryday.in/,India Consumer,everyday.png,Fund 1
Creatr,AI lead Design Tool,https://creatr.xyz/,"Generative AI,SAAS",creatr.png,Fund 1
TractorFactory,Omni-channel marketplace for second hand tractors,https://tractorfactory.in/#/,"India Consumer,AgriTech",tractor-factory.png,Fund 1
Viralme,Sourcing platform for Online Arbitrage Resellers,#,B2B Marketplace,viralme.png,Fund 1
CommandK,DPDP / GDPR Management SAAS Platform for Tech Companies,https://www.commandk.dev/,Dev Tools,enclave_commandk.png,Fund 1
Spiti,"Private Youtube for Teams to store, curate and watch video content on.",https://spiti.xyz/,SAAS,spiti.png,Fund 1
Suitable,Employee Referral management SAAS platform,https://suitable.ai/,SAAS,suitable.png,Fund 1
Piiko,10X Cheaper Blood Testing Machines for India,https://www.piiko.in/,Healthcare,piiko.png,Fund 1
Vivahit,App to manage organising weddings and providing a smooth guest experience at a grand indian wedding,https://www.vivahit.in/,India Consumer,vivahit.png,Fund 1
Fijit,Hyper Casual play to earn Web3 Meme Games,https://www.infini3.xyz/,Gaming,fijit.png,Fund 1
Taakat,Whole Truth for Masses,https://www.linkedin.com/in/avinash-pareek-649a1413/,Consumer Brand,Taakat.jpeg,Fund 2
Medmitra AI,"Perplexity for Doctors. AI Decision support tool for doctors, enabling differential diagnosis and prognosis",#,SAAS,medhmitra.jpg,Fund 2
Ionic,Damage reversal professional haircare brand (similar to Olaplex/K18) with a salon-first GTM,http://ionicprofessional.com/,Consumer Brand,ionic professional.avif,Fund 2
Spill Games,Spill Games is game publishing studio that builds casual and hybrid casual games for mobile gamers.,#,Consumer Tech,spill_games.png,Fund 2
Krvvy,"Next-gen innovative intimates, shapewear and lifestyle brand",https://krvvy.com/,Consumer Brand,krvvy.svg,Fund 2
NPrep,NPrep is a nursing education platform focused on nursing exam preparation such as NORCET (AIIMS),https://nprep.in/,Consumer Tech,nprep.png,Fund 2
Mixar,A new-age 3D Models builder with text-to-model generation,#,SAAS,mixar3d.jpeg,Fund 2
Plazza,Quick commerce for medicines,https://www.linkedin.com/company/plazza-club/,Consumer Tech,plazza_club.jpeg,Fund 2
Cherry,Shopping app exclusively for creators,https://www.cherryapp.in/,Consumer Tech,cherry.jpeg,Fund 2
Returns,Options trading made simple.,https://www.optionbase.in/,FinTech,returns.png,Fund 2
MomsMade,Clean label in regional snacks building for Bihari cuisine,https://momsmade.shop/,Consumer Brand,momsmade.png,Fund 2
Tross,Healthcare technology startup providing enterprise-grade infrastructure and API integrations for electronic health records (EHR) and payer portals,https://ontross.com,Healthcare,tross.png,Fund 2
SuperLiving,"SuperLiving is Bharat's own lifestyle app uniquely designed for the lifestyle needs of Indian families.",https://www.superliving.app/,Consumer Tech,superliving.png,Fund 2
